epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.8301464319229126,4.999999873689376e-05,0.7510985136032104,0.9104591608047485,0.4995870292186737
1,0.93470299243927,4.999999873689376e-05,0.3931739926338196,0.9234693646430969,0.4527476727962494
2,0.9710130095481873,4.999999873689376e-05,0.29599645733833313,0.9357143044471741,0.41106244921684265
3,0.9861676096916199,4.999999873689376e-05,0.25059273838996887,0.9109693765640259,0.47240322828292847
4,0.9920667409896851,4.999999873689376e-05,0.229660764336586,0.9206632375717163,0.45050978660583496
5,0.9949145913124084,4.999999873689376e-05,0.2125263512134552,0.9221938848495483,0.4370076060295105
6,0.9962368011474609,4.999999873689376e-05,0.19674256443977356,0.9377551078796387,0.3860280513763428
7,0.9963893294334412,4.999999873689376e-05,0.18489469587802887,0.9163265228271484,0.44407641887664795
8,0.9965927600860596,4.999999873689376e-05,0.16950412094593048,0.9272959232330322,0.43525221943855286
9,0.9974064230918884,4.999999873689376e-05,0.15724661946296692,0.9275510311126709,0.4011540412902832
10,0.9972538352012634,4.999999873689376e-05,0.14407400786876678,0.9155611991882324,0.4767986238002777
11,0.9976606965065002,4.999999873689376e-05,0.1337735950946808,0.9362244606018066,0.36085644364356995
12,0.9978132843971252,4.999999873689376e-05,0.12384522706270218,0.9321428537368774,0.36956045031547546
13,0.9974572658538818,4.999999873689376e-05,0.1143905445933342,0.934183657169342,0.335114061832428
14,0.997355580329895,4.999999873689376e-05,0.10652339458465576,0.9303571581840515,0.36395150423049927
15,0.9983726739883423,4.999999873689376e-05,0.09790293127298355,0.921683669090271,0.42107805609703064
16,0.9983726739883423,4.999999873689376e-05,0.09171579778194427,0.922448992729187,0.3978388011455536
17,0.9983218312263489,4.999999873689376e-05,0.08345584571361542,0.9515306353569031,0.27507781982421875
18,0.9980166554450989,4.999999873689376e-05,0.07760115712881088,0.9387755393981934,0.29761260747909546
19,0.9984235167503357,4.999999873689376e-05,0.07116125524044037,0.9237244725227356,0.35922273993492126
20,0.9988812208175659,4.999999873689376e-05,0.06856802850961685,0.9311224222183228,0.3404083549976349
21,0.9985252022743225,4.999999873689376e-05,0.06138087436556816,0.9385204315185547,0.34163811802864075
22,0.9987794756889343,4.999999873689376e-05,0.05650591105222702,0.9048469662666321,0.5324500799179077
23,0.9993897676467896,2.499999936844688e-05,0.051237914711236954,0.9329081773757935,0.37673911452293396
24,0.9998983144760132,2.499999936844688e-05,0.04721784591674805,0.9471938610076904,0.2919537425041199
25,0.9999491572380066,2.499999936844688e-05,0.04370810091495514,0.9474489688873291,0.28154584765434265
26,0.999847412109375,2.499999936844688e-05,0.04025067389011383,0.9418367147445679,0.31345534324645996
27,0.9996948838233948,2.499999936844688e-05,0.03628453612327576,0.9311224222183228,0.4136359691619873
28,0.999847412109375,1.249999968422344e-05,0.033201914280653,0.9494897723197937,0.2723447382450104
29,1.0,1.249999968422344e-05,0.030907804146409035,0.953316330909729,0.24892860651016235
30,1.0,1.249999968422344e-05,0.028283515945076942,0.9553571343421936,0.22929801046848297
31,0.9999491572380066,1.249999968422344e-05,0.025433748960494995,0.9553571343421936,0.228440523147583
32,0.9999491572380066,1.249999968422344e-05,0.022409114986658096,0.9551020264625549,0.22784318029880524
33,1.0,1.249999968422344e-05,0.019618453457951546,0.9568877816200256,0.22994866967201233
34,1.0,1.249999968422344e-05,0.01727999374270439,0.9535714387893677,0.22624148428440094
35,1.0,1.249999968422344e-05,0.015131753869354725,0.9579081535339355,0.20218400657176971
36,1.0,1.249999968422344e-05,0.013285957276821136,0.9563775658607483,0.20741190016269684
37,1.0,1.249999968422344e-05,0.011879616416990757,0.9604591727256775,0.19727358222007751
38,0.9998983144760132,1.249999968422344e-05,0.010845743119716644,0.9510204195976257,0.2669927775859833
39,1.0,1.249999968422344e-05,0.009632494300603867,0.9528061151504517,0.2339288741350174
40,1.0,1.249999968422344e-05,0.008594110608100891,0.9591836929321289,0.21166224777698517
41,1.0,1.249999968422344e-05,0.007543515879660845,0.952551007270813,0.23775866627693176
42,0.9998983144760132,1.249999968422344e-05,0.006675151642411947,0.9459183812141418,0.30381593108177185
43,1.0,6.24999984211172e-06,0.00605858163908124,0.9505102038383484,0.266451895236969
44,1.0,6.24999984211172e-06,0.00570661248639226,0.9510204195976257,0.25782814621925354
45,1.0,6.24999984211172e-06,0.005278688855469227,0.9528061151504517,0.2467537522315979
46,1.0,6.24999984211172e-06,0.004856339655816555,0.9522958993911743,0.24581314623355865
47,1.0,6.24999984211172e-06,0.0044464911334216595,0.9535714387893677,0.2464233934879303
48,1.0,3.12499992105586e-06,0.004164033103734255,0.9535714387893677,0.2454695701599121
49,1.0,3.12499992105586e-06,0.0039037982933223248,0.9548469185829163,0.23525424301624298
50,1.0,3.12499992105586e-06,0.0036335980985313654,0.9545918107032776,0.23950575292110443
51,1.0,3.12499992105586e-06,0.003374235238879919,0.954081654548645,0.2373208850622177
52,1.0,3.12499992105586e-06,0.0031313470099121332,0.954081654548645,0.2384423166513443
53,1.0,1.56249996052793e-06,0.0029686701018363237,0.9538265466690063,0.23848825693130493
54,1.0,1.56249996052793e-06,0.0028612352907657623,0.9538265466690063,0.24580039083957672
55,1.0,1.56249996052793e-06,0.0027425203006714582,0.9551020264625549,0.2392728626728058
56,1.0,1.56249996052793e-06,0.0026561052072793245,0.9573979377746582,0.23272335529327393
57,1.0,1.56249996052793e-06,0.002507241442799568,0.955867350101471,0.23645161092281342
58,1.0,7.81249980263965e-07,0.002423190977424383,0.955867350101471,0.23690012097358704
59,1.0,7.81249980263965e-07,0.0023700762540102005,0.9553571343421936,0.23566877841949463
60,1.0,7.81249980263965e-07,0.0023186318576335907,0.9553571343421936,0.23851189017295837
61,1.0,7.81249980263965e-07,0.0022664342541247606,0.9551020264625549,0.24011139571666718
62,1.0,7.81249980263965e-07,0.002201299648731947,0.956632673740387,0.23264868557453156
63,1.0,3.906249901319825e-07,0.0021512999664992094,0.9563775658607483,0.23575861752033234
